Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Great Tit	gretit1	0.9762	/home/z/my-project/upload/birdybird_48k.wav	0.0
2	Spectrogram 1	1	0.0	3.0	0	15000	Eurasian Blue Tit	blutit	0.0649	/home/z/my-project/upload/birdybird_48k.wav	0.0
3	Spectrogram 1	1	0.0	3.0	0	15000	Marsh Tit	martit2	0.0091	/home/z/my-project/upload/birdybird_48k.wav	0.0
4	Spectrogram 1	1	0.0	3.0	0	15000	Gray-headed Woodpecker	gyfwoo1	0.0067	/home/z/my-project/upload/birdybird_48k.wav	0.0
5	Spectrogram 1	1	0.0	3.0	0	15000	Coal Tit	coatit2	0.0065	/home/z/my-project/upload/birdybird_48k.wav	0.0
6	Spectrogram 1	1	0.0	3.0	0	15000	Yellowhammer	yellow2	0.0055	/home/z/my-project/upload/birdybird_48k.wav	0.0
7	Spectrogram 1	1	0.0	3.0	0	15000	Common Chaffinch	comcha	0.0042	/home/z/my-project/upload/birdybird_48k.wav	0.0
8	Spectrogram 1	1	0.0	3.0	0	15000	Short-toed Treecreeper	shttre1	0.0042	/home/z/my-project/upload/birdybird_48k.wav	0.0
9	Spectrogram 1	1	0.0	3.0	0	15000	Common Swift	comswi	0.0038	/home/z/my-project/upload/birdybird_48k.wav	0.0
10	Spectrogram 1	1	0.0	3.0	0	15000	Great Spotted Woodpecker	grswoo	0.0036	/home/z/my-project/upload/birdybird_48k.wav	0.0
11	Spectrogram 1	1	3.0	6.0	0	15000	Great Tit	gretit1	0.9813	/home/z/my-project/upload/birdybird_48k.wav	3.0
12	Spectrogram 1	1	3.0	6.0	0	15000	Eurasian Blue Tit	blutit	0.0523	/home/z/my-project/upload/birdybird_48k.wav	3.0
13	Spectrogram 1	1	3.0	6.0	0	15000	Marsh Tit	martit2	0.0160	/home/z/my-project/upload/birdybird_48k.wav	3.0
14	Spectrogram 1	1	3.0	6.0	0	15000	Coal Tit	coatit2	0.0123	/home/z/my-project/upload/birdybird_48k.wav	3.0
15	Spectrogram 1	1	3.0	6.0	0	15000	Gray-headed Woodpecker	gyfwoo1	0.0067	/home/z/my-project/upload/birdybird_48k.wav	3.0
16	Spectrogram 1	1	3.0	6.0	0	15000	Lesser Spotted Woodpecker	leswoo1	0.0066	/home/z/my-project/upload/birdybird_48k.wav	3.0
17	Spectrogram 1	1	3.0	6.0	0	15000	European Pied Flycatcher	eupfly1	0.0045	/home/z/my-project/upload/birdybird_48k.wav	3.0
18	Spectrogram 1	1	3.0	6.0	0	15000	Hooded Crow	hoocro1	0.0042	/home/z/my-project/upload/birdybird_48k.wav	3.0
19	Spectrogram 1	1	3.0	6.0	0	15000	Yellowhammer	yellow2	0.0036	/home/z/my-project/upload/birdybird_48k.wav	3.0
20	Spectrogram 1	1	3.0	6.0	0	15000	White-backed Woodpecker	whbwoo1	0.0034	/home/z/my-project/upload/birdybird_48k.wav	3.0
