Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Common Name	Species Code	Confidence	Begin Path	File Offset (s)
1	Spectrogram 1	1	0.0	3.0	0	15000	Thrush Nightingale	thrnig1	0.4116	/home/z/my-project/upload/birdybird2_48k.wav	0.0
2	Spectrogram 1	1	0.0	3.0	0	15000	Common Nightingale	comnig1	0.0955	/home/z/my-project/upload/birdybird2_48k.wav	0.0
3	Spectrogram 1	1	0.0	3.0	0	15000	Blyth's Reed Warbler	blrwar1	0.0119	/home/z/my-project/upload/birdybird2_48k.wav	0.0
4	Spectrogram 1	1	0.0	3.0	0	15000	Great Tit	gretit1	0.0054	/home/z/my-project/upload/birdybird2_48k.wav	0.0
5	Spectrogram 1	1	0.0	3.0	0	15000	Cetti's Warbler	cetwar1	0.0046	/home/z/my-project/upload/birdybird2_48k.wav	0.0
6	Spectrogram 1	1	0.0	3.0	0	15000	Eurasian Magpie	eurmag1	0.0021	/home/z/my-project/upload/birdybird2_48k.wav	0.0
7	Spectrogram 1	1	0.0	3.0	0	15000	Song Thrush	sonthr1	0.0020	/home/z/my-project/upload/birdybird2_48k.wav	0.0
8	Spectrogram 1	1	0.0	3.0	0	15000	Great Spotted Woodpecker	grswoo	0.0019	/home/z/my-project/upload/birdybird2_48k.wav	0.0
9	Spectrogram 1	1	0.0	3.0	0	15000	Marsh Warbler	marwar3	0.0018	/home/z/my-project/upload/birdybird2_48k.wav	0.0
10	Spectrogram 1	1	0.0	3.0	0	15000	Icterine Warbler	ictwar1	0.0013	/home/z/my-project/upload/birdybird2_48k.wav	0.0
11	Spectrogram 1	1	3.0	6.0	0	15000	Thrush Nightingale	thrnig1	0.1185	/home/z/my-project/upload/birdybird2_48k.wav	3.0
12	Spectrogram 1	1	3.0	6.0	0	15000	Common Nightingale	comnig1	0.0045	/home/z/my-project/upload/birdybird2_48k.wav	3.0
13	Spectrogram 1	1	3.0	6.0	0	15000	Song Thrush	sonthr1	0.0007	/home/z/my-project/upload/birdybird2_48k.wav	3.0
14	Spectrogram 1	1	3.0	6.0	0	15000	Eurasian Blackbird	eurbla	0.0004	/home/z/my-project/upload/birdybird2_48k.wav	3.0
15	Spectrogram 1	1	3.0	6.0	0	15000	European Starling	eursta	0.0003	/home/z/my-project/upload/birdybird2_48k.wav	3.0
16	Spectrogram 1	1	3.0	6.0	0	15000	House Sparrow	houspa	0.0003	/home/z/my-project/upload/birdybird2_48k.wav	3.0
17	Spectrogram 1	1	3.0	6.0	0	15000	Ring Ouzel	rinouz1	0.0002	/home/z/my-project/upload/birdybird2_48k.wav	3.0
18	Spectrogram 1	1	3.0	6.0	0	15000	Rock Pigeon	rocpig	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	3.0
19	Spectrogram 1	1	3.0	6.0	0	15000	Great Tit	gretit1	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	3.0
20	Spectrogram 1	1	3.0	6.0	0	15000	Black Redstart	blared1	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	3.0
21	Spectrogram 1	1	6.0	9.0	0	15000	Thrush Nightingale	thrnig1	0.7080	/home/z/my-project/upload/birdybird2_48k.wav	6.0
22	Spectrogram 1	1	6.0	9.0	0	15000	Common Nightingale	comnig1	0.2172	/home/z/my-project/upload/birdybird2_48k.wav	6.0
23	Spectrogram 1	1	6.0	9.0	0	15000	Eurasian Blackbird	eurbla	0.0010	/home/z/my-project/upload/birdybird2_48k.wav	6.0
24	Spectrogram 1	1	6.0	9.0	0	15000	Song Thrush	sonthr1	0.0003	/home/z/my-project/upload/birdybird2_48k.wav	6.0
25	Spectrogram 1	1	6.0	9.0	0	15000	European Starling	eursta	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	6.0
26	Spectrogram 1	1	6.0	9.0	0	15000	Black Redstart	blared1	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	6.0
27	Spectrogram 1	1	6.0	9.0	0	15000	Blyth's Reed Warbler	blrwar1	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	6.0
28	Spectrogram 1	1	6.0	9.0	0	15000	Eurasian Magpie	eurmag1	0.0001	/home/z/my-project/upload/birdybird2_48k.wav	6.0
29	Spectrogram 1	1	6.0	9.0	0	15000	Eurasian Scops-Owl	eursco1	0.0000	/home/z/my-project/upload/birdybird2_48k.wav	6.0
30	Spectrogram 1	1	6.0	9.0	0	15000	European Bee-eater	eubeat1	0.0000	/home/z/my-project/upload/birdybird2_48k.wav	6.0
